;Nombres de niña;Nombres de niño;Hobbies
;;;esqui nautico o acuatico
;;;estampacion botanica
;;;estudiar (idiomas/ otras asignaturas/etc)
;;;exploracion urbana (urbex)
;;;flamenco
;;;floorball (o unihockey)
;;;flores kanzashi
;;;flores secas (trabajar con)
;;;flyboard
;;;fosiles (busqueda de)
;;;fotografia
;;;frisbee (disco volador)
;;;fronton
;;;futbol
;;;futbol americano
;;;futbol sala
;;;futbolin
;;;genealogia e historia familiar
;;;geocaching y busqueda de tesoros
;;;gimnasia (artistica/ritmica/)
;;;gimnasia de mantenimiento y fitness
;;;globos (trabajo con globos moldeables)
;;;go (juego)
;;;golf
;;;grabados artisticos
;;;graffiti y arte urbano
;;;groundhopping («ir de estadio en estadio»)
;;;hacer vino
;;;halterofilia (levantamiento de pesas)
;;;hapkido
;;;hidroponia (cultivo en liquido)
;;;historia (aficion a la)
;;;hockey de mesa (air hockey)
;;;hockey sobre hielo
;;;hockey sobre hierba
;;;hockey sobre patines
;;;hockey subacuatico
;;;horticultura (agricultura)
;;;huerto casero
;;;hydrospeed
;;;ikebana ( y arte floral)
;;;internet (navegar por)
;;;invertir en bolsa
;;;jabon (hacer)
;;;jardineria
;;;jet surf
;;;jiu jitsu
;;;joyas y bisuteria (creacion de)
;;;judo
;;;juegos con dispositivos electronicos (pc/ tablet/ movil)
;;;juegos con fichas (general)
;;;juegos de cartas o naipes
;;;juegos de mesa (general)
;;;juegos de mesa tematicos
;;;juegos de rol
;;;jugger
;;;kangoo jump
;;;karaoke
;;;karate
;;;kayak polo
;;;kendo
;;;kenpo
;;;kick boxing
;;;kin ball
;;;kintsugi
;;;kitesurf
;;;kobudo
;;;kokedamas (plantas sobre musgo)
;;;korfball
;;;kung fu
;;;labores (punto/crochet/ bordado/ encaje/etc)
;;;laser combat
;;;lectura
;;;lego (construcciones con piezas)
;;;libros pop up (creacion de)
;;;limpieza de automoviles («detailing»)
;;;lock picking (abrir cerraduras)
;;;lomografia
;;;loteria
;;;lucha (olimpica/ grecorromana…..)
;;;madera (tallas en madera)
;;;magia (ilusionismo/ prestidigitacion)
;;;mahjong (juego de fichas chino)
;;;malabares
;;;manga y anime
;;;manualidades (trabajos manuales)
;;;marcha o paseo nordico (nordic walking)
;;;marionetas (teatro de)
;;;meditacion
;;;mercadillos/flea markets
;;;mermeladas (preparar)
;;;metales (busqueda de)
;;;meteorología (afición a la)
;;;mindfulness o atención plena
;;;minerales (busqueda de)
;;;moda (aficion a la moda)
;;;modelismo (aviones/coches/barcos/drones/ figuras/etc)
;;;modelismo con cerillas
;;;montañismo/alpinismo
;;;moto acuatica
;;;motor (aficion a temas del)
;;;muñecas (hacer)
;;;mushing
;;;musica (aficion a la)
;;;nadar (natacion)
;;;naturaleza (interes por la)
;;;observacion de trenes y aviones
;;;orientacion
;;;origami (o papiroflexia)
;;;padbol
;;;paddle surf (surf a remo)
;;;padel
;;;paintball
;;;palomas (cria de palomas/ colombofilia y colombicultura)
;;;papel mache
;;;paracaidismo
;;;paracaidismo indoor (tunel de viento)
;;;paramotor
;;;parapente
;;;parkour (freerunning)
;;;pasatiempos (crucigramas/ sudokus/ infantiles/ memoria/ etc)
;;;pasear
;;;patchwork y colchas
;;;patinaje sobre hielo
;;;patinaje sobre ruedas (roller)
;;;patinete electrico
;;;perfume casero
;;;periodismo aficionado
;;;perros (concursos/exhibiciones)
;;;pesca recreativa
;;;pesca submarina
;;;petanca
;;;pickleball
;;;pilates
;;;ping pong o tenis de mesa
;;;pintura artistica
;;;pintura de figuras (policromado/dorado)
;;;pintura sobre seda
;;;piragüismo (canoismo/canotaje/kayakismo)
;;;plantas de interior
;;;plantas silvestres/ incluidos arboles y arbustos (aficion a las)
;;;podcasts (aficion/creacion)
;;;politica (aficion a la)
;;;polo
;;;porcelana fria
;;;powerlifting
;;;produccion musical
;;;programacion informatica
;;;puros habanos(cata de)
;;;puzzles
;;;quad y buggy
;;;quidditch
;;;radio (aficion a la)
;;;radioaficion
;;;rafting
;;;rapel
;;;raquetas de nieve
;;;realidad virtual (juegos de)
;;;reciclaje creativo
;;;redes sociales (facebook/ youtube/twitter/instagram/etc)
;;;reiki (tecnica espiritual sanadora)
;;;remo deportivo
;;;reposteria/pasteleria y cupcakes
;;;repujado de metal
;;;restauracion de coches clasicos
;;;restauracion de muebles
;;;revistas y periodicos (leer)
;;;robotica
;;;roller derby
;;;rollerski y cross skating
;;;rugby
;;;salud (interes por temas de salud)
;;;scalextric
;;;scrapbook (album de recortes)
;;;senderismo
;;;series de tv (aficion a las series)
;;;serigrafia
;;;setas (busqueda o recolección de)
;;;skateboarding
;;;slime (jugar con slime/ una masa viscosa )
;;;snowbike
;;;snowboard
;;;softball
;;;speedriding
;;;spinning
;;;squash
;;;subastas
;;;surf
;;;taekwondo
;;;taichi
;;;tampones o sellos de caucho (creacion con)
;;;tarot
;;;tatuajes
;;;taxidermia
;;;tejer (con un telar casero)
;;;tejo (juego colombiano)
;;;tenis
;;;tintado/teñido de tejidos
;;;tiro con arco
;;;tiro con tirachinas
;;;tiro de hacha
;;;tiro deportivo con arma de fuego
;;;tocar un instrumento musical
;;;toros (aficion a los)
;;;tostar cafe
;;;transferencia de imagenes
;;;trenes a escala
;;;triatlon
;;;tufting
;;;uñas (decoracion de)
;;;vehiculos de control remoto (rc)
;;;vela deportiva y recreativa
;;;velas (creacion de velas)
;;;viajar
;;;viajar lentamente (slow travel)
;;;viajes de aventura
;;;viajes tematicos
;;;video (realizacion de videos)
;;;videojuegos
;;;visitar monumentos y yacimientos arqueológicos
;;;visitar museos y exposiciones
;;;visitas urbanas
;;;voleibol
;;;voley playa
;;;voluntariado ambiental
;;;voluntariado animal
;;;voluntariado cultural
;;;voluntariado en deporte
;;;voluntariado social
;;;vuelo a vela (vuelo sin motor)
;;;vuelo con motor
;;;wakeboard
;;;waterpolo
;;;windsurf
;;;yoga
;;;yoga aereo
;;;youtuber
;;;zumba
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
